CUSTOMER_USER,CUSTOMER_PASS,LOAD_PRODUCT_ID
customer,password123,2
testuser1,password123,3
testuser2,password123,4
testuser3,password123,5
testuser4,password123,6
testuser5,password123,7
testuser6,password123,8
testuser7,password123,9
testuser8,password123,10
testuser9,password123,11
testuser10,password123,12
customer,password123,13
testuser1,password123,14
testuser2,password123,15
testuser3,password123,16
testuser4,password123,17
testuser5,password123,18
testuser6,password123,2
testuser7,password123,3
testuser8,password123,5
